stock_description,pct_of_portfolio,quarterly_action,number_of_shares,share_price_at_qtr_end,total_investment,investor_name,fund_name,stock_ticker,quarter
MCO - Moody's Corp.,14.4,,"5,703,785",$278.62,"$1,589,189,000",Chuck Akre,Akre Capital Management,MCO,2022Q4
AMT - American Tower Corp.,13.4,Add 0.29%,"6,993,427",$211.86,"$1,481,627,000",Chuck Akre,Akre Capital Management,AMT,2022Q4
V - Visa Inc.,9.3,Reduce 6.15%,"4,922,138",$207.76,"$1,022,623,000",Chuck Akre,Akre Capital Management,V,2022Q4
ORLY - O'Reilly Automotive,9.0,Reduce 19.66%,"1,182,283",$844.03,"$997,882,000",Chuck Akre,Akre Capital Management,ORLY,2022Q4
ROP - Roper Technologies Inc.,6.5,Reduce 0.00%,"1,655,625",$432.09,"$715,379,000",Chuck Akre,Akre Capital Management,ROP,2022Q4
KKR - KKR & Co. L.P.,6.3,Reduce 2.26%,"15,102,918",$46.42,"$701,077,000",Chuck Akre,Akre Capital Management,KKR,2022Q4
CSGP - CoStar Group Inc.,5.0,,"7,111,430",$77.28,"$549,571,000",Chuck Akre,Akre Capital Management,CSGP,2022Q4
BN - Brookfield Corp.,4.9,Add 29.92%,"17,366,753",$31.46,"$546,358,000",Chuck Akre,Akre Capital Management,BN,2022Q4
DHR - Danaher Corp.,4.3,Add 8.03%,"1,788,200",$265.42,"$474,624,000",Chuck Akre,Akre Capital Management,DHR,2022Q4
ADBE - Adobe Inc.,3.8,Reduce 25.59%,"1,239,558",$336.53,"$417,148,000",Chuck Akre,Akre Capital Management,ADBE,2022Q4
KMX - CarMax Inc.,2.9,Reduce 28.04%,"5,291,022",$60.89,"$322,170,000",Chuck Akre,Akre Capital Management,KMX,2022Q4
BAM - Brookfield Asset Management,1.0,Buy,"3,691,684",$28.67,"$105,841,000",Chuck Akre,Akre Capital Management,BAM,2022Q4
<1% Basket - Multiple Holdings,0.8,,,,,Chuck Akre,Akre Capital Management,<1% Basket,2022Q4
LOW - Lowe's Cos.,23.5,,"10,374,801",$199.24,"$2,067,075,000",Bill Ackman,Pershing Square Capital Management,LOW,2022Q4
QSR - Restaurant Brands International,17.8,,"24,194,166",$64.67,"$1,564,637,000",Bill Ackman,Pershing Square Capital Management,QSR,2022Q4
CMG - Chipotle Mexican Grill Inc.,17.5,,"1,105,208","$1,387.49","$1,533,465,000",Bill Ackman,Pershing Square Capital Management,CMG,2022Q4
HLT - Hilton Worldwide Holdings,14.4,,"10,031,580",$126.36,"$1,267,590,000",Bill Ackman,Pershing Square Capital Management,HLT,2022Q4
HHC - Howard Hughes Corp.,13.8,Add 16.70%,"15,895,135",$76.42,"$1,214,706,000",Bill Ackman,Pershing Square Capital Management,HHC,2022Q4
CP - Canadian Pacific Railway,12.9,,"15,237,044",$74.59,"$1,136,531,000",Bill Ackman,Pershing Square Capital Management,CP,2022Q4
BRK.B - Berkshire Hathaway CL B,8.8,Reduce 0.30%,"461,404",$308.90,"$142,528,000",Francois Rochon,Giverny Capital,BRK.B,2022Q4
AME - Ametek Inc.,7.4,Add 0.76%,"853,298",$139.72,"$119,223,000",Francois Rochon,Giverny Capital,AME,2022Q4
FIVE - Five Below Inc.,6.8,Add 0.32%,"618,351",$176.87,"$109,368,000",Francois Rochon,Giverny Capital,FIVE,2022Q4
MKL - Markel Corp.,6.6,Reduce 0.97%,"81,360","$1,317.49","$107,191,000",Francois Rochon,Giverny Capital,MKL,2022Q4
SCHW - Charles Schwab Corp.,6.4,Add 1.16%,"1,242,854",$83.26,"$103,480,000",Francois Rochon,Giverny Capital,SCHW,2022Q4
KMX - CarMax Inc.,5.4,Add 16.93%,"1,435,307",$60.89,"$87,396,000",Francois Rochon,Giverny Capital,KMX,2022Q4
HEI.A - HEICO Corp. CL A,5.0,Add 0.88%,"670,900",$119.85,"$80,407,000",Francois Rochon,Giverny Capital,HEI.A,2022Q4
KEYS - Keysight Technologies Inc.,4.9,Reduce 0.48%,"462,986",$171.07,"$79,203,000",Francois Rochon,Giverny Capital,KEYS,2022Q4
GOOG - Alphabet Inc. CL C,4.9,Reduce 0.68%,"886,978",$88.73,"$78,702,000",Francois Rochon,Giverny Capital,GOOG,2022Q4
V - Visa Inc.,4.6,Reduce 0.50%,"358,387",$207.76,"$74,458,000",Francois Rochon,Giverny Capital,V,2022Q4
PGR - Progressive Corp.,3.7,Add 2.31%,"461,325",$129.71,"$59,838,000",Francois Rochon,Giverny Capital,PGR,2022Q4
NVR - NVR Inc.,3.6,Reduce 1.63%,"12,489","$4,612.62","$57,607,000",Francois Rochon,Giverny Capital,NVR,2022Q4
FBIN - Fortune Brands Innovations Inc.,3.2,Add 41.17%,"896,997",$57.11,"$51,227,000",Francois Rochon,Giverny Capital,FBIN,2022Q4
MTB - M&T Bank Corp.,2.8,Add 1.33%,"306,383",$145.06,"$44,444,000",Francois Rochon,Giverny Capital,MTB,2022Q4
IBP - Installed Building Products,2.2,Reduce 0.16%,"413,320",$85.60,"$35,380,000",Francois Rochon,Giverny Capital,IBP,2022Q4
LULU - Lululemon Athletica Inc.,2.2,Add 83.22%,"109,845",$320.38,"$35,192,000",Francois Rochon,Giverny Capital,LULU,2022Q4
CIEN - Ciena Corp.,2.2,Reduce 0.24%,"680,657",$50.98,"$34,700,000",Francois Rochon,Giverny Capital,CIEN,2022Q4
META - Meta Platforms Inc.,2.0,Add 0.88%,"270,786",$120.34,"$32,586,000",Francois Rochon,Giverny Capital,META,2022Q4
EW - Edwards Lifesciences Corp.,2.0,Reduce 0.94%,"426,173",$74.61,"$31,797,000",Francois Rochon,Giverny Capital,EW,2022Q4
BAC - Bank of America Corp.,1.9,Add 0.49%,"935,610",$33.12,"$30,987,000",Francois Rochon,Giverny Capital,BAC,2022Q4
FRC - First Republic Bank,1.8,Add 7.96%,"236,893",$121.89,"$28,875,000",Francois Rochon,Giverny Capital,FRC,2022Q4
SSNC - SS&C Technologies Holdings Inc.,1.3,Reduce 42.81%,"407,613",$52.06,"$21,220,000",Francois Rochon,Giverny Capital,SSNC,2022Q4
DIS - Walt Disney Co.,1.2,Add 0.33%,"226,010",$86.88,"$19,636,000",Francois Rochon,Giverny Capital,DIS,2022Q4
FND - Floor & Decor Holdings,1.2,Add 13.04%,"266,334",$69.63,"$18,545,000",Francois Rochon,Giverny Capital,FND,2022Q4
GOOGL - Alphabet Inc.,1.1,Add 4.17%,"208,280",$88.23,"$18,377,000",Francois Rochon,Giverny Capital,GOOGL,2022Q4
<1% Basket - Multiple Holdings,7.1,,,,,Francois Rochon,Giverny Capital,<1% Basket,2022Q4
CACC - Credit Acceptance Corp.,46.9,,"195,246",$474.40,"$92,625,000",Robert Vinall,RV Capital,CACC,2022Q4
CRM - Salesforce.com,20.3,Reduce 0.62%,"303,243",$132.59,"$40,207,000",Robert Vinall,RV Capital,CRM,2022Q4
WIX - Wix.com Ltd.,17.7,,"455,800",$76.83,"$35,019,000",Robert Vinall,RV Capital,WIX,2022Q4
META - Meta Platforms Inc.,12.8,,"210,400",$120.34,"$25,320,000",Robert Vinall,RV Capital,META,2022Q4
CVNA - Carvana Co.,1.7,,"709,835",$4.74,"$3,365,000",Robert Vinall,RV Capital,CVNA,2022Q4
TRUP - Trupanion Inc.,0.6,,"25,000",$47.52,"$1,188,000",Robert Vinall,RV Capital,TRUP,2022Q4
BRK.B - Berkshire Hathaway CL B,23.4,,"140,600",$308.90,"$43,431,000",Guy Spier,Aquamarine Capital,BRK.B,2022Q4
AXP - American Express,16.7,,"210,000",$147.75,"$31,028,000",Guy Spier,Aquamarine Capital,AXP,2022Q4
BAC - Bank of America Corp.,13.7,,"767,845",$33.12,"$25,431,000",Guy Spier,Aquamarine Capital,BAC,2022Q4
MA - Mastercard Inc.,12.3,,"65,750",$347.73,"$22,863,000",Guy Spier,Aquamarine Capital,MA,2022Q4
RACE - Ferrari NV,9.2,,"80,000",$214.31,"$17,145,000",Guy Spier,Aquamarine Capital,RACE,2022Q4
BRK.A - Berkshire Hathaway CL A,7.6,,30,"$468,700.00","$14,061,000",Guy Spier,Aquamarine Capital,BRK.A,2022Q4
MU - Micron Technology Inc.,5.4,,"200,000",$49.98,"$9,996,000",Guy Spier,Aquamarine Capital,MU,2022Q4
MCO - Moody's Corp.,4.1,,"27,000",$278.63,"$7,523,000",Guy Spier,Aquamarine Capital,MCO,2022Q4
SRG - Seritage Growth Properties,3.2,,"500,000",$11.83,"$5,915,000",Guy Spier,Aquamarine Capital,SRG,2022Q4
BABA - Alibaba Group Holdings,2.3,,"47,500",$88.08,"$4,184,000",Guy Spier,Aquamarine Capital,BABA,2022Q4
DJCO - Daily Journal Corp.,1.6,,"11,500",$250.52,"$2,881,000",Guy Spier,Aquamarine Capital,DJCO,2022Q4
GOOGL - Alphabet Inc.,0.8,,"16,000",$88.25,"$1,412,000",Guy Spier,Aquamarine Capital,GOOGL,2022Q4
BAC - Bank of America Corp.,43.7,,"2,300,000",$33.12,"$76,176,000",Charlie Munger,Daily Journal Corp.,BAC,2022Q4
WFC - Wells Fargo,37.7,,"1,591,800",$41.29,"$65,726,000",Charlie Munger,Daily Journal Corp.,WFC,2022Q4
BABA - Alibaba Group Holdings,15.2,,"300,000",$88.09,"$26,427,000",Charlie Munger,Daily Journal Corp.,BABA,2022Q4
USB - U.S. Bancorp,3.5,,"140,000",$43.61,"$6,105,000",Charlie Munger,Daily Journal Corp.,USB,2022Q4
